consider: deem-to-be.
minute: infinitely-or-immeasurably-small.
accord: concurrence-of-opinion.
evident: clearly-revealed-to-the-mind-or-the-senses-or-judgment.
practice: a-customary-way-of-operation-or-behavior.
intend: have-in-mind-as-a-purpose.
concern: something-that-interests-you-because-it-is-important.
commit: perform-an-act-usually-with-a-negative-connotation.
issue: some-situation-or-event-that-is-thought-about.
approach: move-towards.
establish: set-up-or-found.
range: a-variety-of-different-things-or-activities.
attitude: a-complex-mental-state-involving-beliefs-and-feelings.
